A,B,C,D
0.9862137195347102,0.5711796269975352,0.42691312851157925,0.16683660909458686
0.34287878959250706,0.19457147256283513,0.3474926460466894,0.7757817724849272
0.11092428293765333,0.9119304325801006,0.48688265293354105,0.8459001041411334
0.6586555501212007,0.2463698289419468,0.449200610707825,0.510218629260448
0.2859353120228797,0.12981865292506678,0.6562396072982533,0.7491170893023357
0.7511539405402728,0.5657717684199558,0.3299636289146425,0.07853100182228145
0.7859326104559412,0.38084117882089863,0.03314265641703962,0.5158491760924974
0.3930312597503123,0.8448250643778689,0.9137103463519083,0.027119761951304056
0.7790080744748142,0.11033289875231045,0.6949267455193705,0.9137178637694153
0.10343324408093413,0.3537984018054511,0.6687115164560691,0.6348950550986296
0.1993408626542763,0.6232700720228417,0.740806874856167,0.22587386145083932
0.6900025270360441,0.36067474640557473,0.9500976235647614,0.19494480089445154
0.4931967738040324,0.5619177466568711,0.46728160601629076,0.8345985377842993
0.9254896531341547,0.9497420831637831,0.9695402807078356,0.21144264852033157
0.5210591083783133,0.5860745423597932,0.7416527597636899,0.8876983243798382
0.5282341936123299,0.8836614899535878,0.6055887621745447,0.06745199807746172
0.5062905170560064,0.648654903161323,0.5380939797781848,0.6752306781799886
0.06783522544987397,0.014294973969908642,0.8850748842158002,0.9570984654115977
0.5574261409013777,0.34685549107337765,0.39289520988077076,0.32380499991355927
0.5692549459826837,0.5062366638835226,0.5248975358323679,0.6610902775587377
0.6849219901811685,0.6010839086399321,0.7317284537494209,0.46543956585747526
0.4111068705951225,0.5771249267308701,0.7082723809252589,0.5642013482336613
0.3760474655898062,0.643363795184521,0.2181878871021805,0.4890268989280948
0.37072066003887594,0.24410265283400956,0.06412473640641991,0.5898535742567701
0.250089892168905,0.4871134509635894,0.18993241213790868,0.41965467155207425
0.08730534689032565,0.0951522459263816,0.3052619539000031,0.3627143627429409
0.03557693647675486,0.8321414320542803,0.24278174646493733,0.6891619804058761
0.5514187475901028,0.6522166212948213,0.3547331375916499,0.45094966137983206
0.041055127138099556,0.7039916041388339,0.7592564358305157,0.6674048773805934
0.6028682687867252,0.2294829056761044,0.8862610129977565,0.7286953992441855
0.3958581663300962,0.7599456110866551,0.15661876505131722,0.6628528195832267
0.14140457610939228,0.9615539380825995,0.4652504058062158,0.7044659856946197
0.9732584240282285,0.37742027293124525,0.942547328067435,0.9926084308383688
0.31564343002478423,0.7648380955829194,0.2840413548655438,0.8889163223317306
0.8499458202480715,0.015053120997502445,0.8519182621485991,0.6131417277658171
0.8356564008888476,0.2500820430704216,0.42040787137459323,0.9379680793098569
0.5991770846603337,0.007030965265333422,0.4727140369864026,0.5417534797438802
0.11001455668213767,0.024614662160293732,0.6350039387911759,0.25544041092227177
0.40116944586782266,0.734716175492661,0.1984335932216995,0.2160650346000269
0.3875481044872233,0.720807435067961,0.6597420811453379,0.8336804447519258
0.28587847953464185,0.6524961102655822,0.3492772095022042,0.4971467113709782
0.7709926034235116,0.06377065312784513,0.7145067716544833,0.9379345430008176
0.5161766786205945,0.3211340344143161,0.5456618407001009,0.21412235127170054
0.11385154688487553,0.25604750759388983,0.8620279054254193,0.31068239988065527
0.347351168579764,0.2659489616484173,0.4186855332954792,0.9157315255147773
0.3258335068662803,0.4436401785798547,0.7184760617597853,0.15467319076547892
0.8550091657305965,0.06974566706133833,0.8183633437657811,0.7479540652500011
0.5764092920168885,0.7551939663885885,0.4807052591509904,0.23773882729390805
0.2115502792454923,0.7715398863444168,0.3530941659027501,0.30769991728378354
0.10461254036142886,0.8832680202673318,0.1617381291651827,0.099549339864481
0.4393690790506043,0.34471036418528256,0.5377781305015881,0.3100468245002862
0.6946969268089683,0.9766854379431548,0.46573003156077153,0.022359222225041275
0.04141265351155354,0.6323891691265594,0.44813806147871926,0.1788567654441493
0.19934804474344348,0.532394925825678,0.9232398493989106,0.581770602539926
0.41471603450667727,0.055054523762894436,0.18314153524760068,0.23061931315261464
0.6482089536831018,0.046353264894282264,0.1537780093389991,0.7860634572132824
0.5154737019311381,0.344696389243785,0.38462572837561615,0.5487751317849641
0.30820723418910057,0.32453004316724476,0.9560538885363998,0.8989121645823596
0.6025570642002684,0.26664726736693434,0.3241034336099543,0.9420140973741703
0.13965882757427384,0.43724577273425413,0.08637458986566415,0.5669903504572633
0.6880915862212093,0.5630388367378973,0.4019816232182738,0.9011849623323277
0.19599766245073746,0.21030029001585193,0.3040788347096215,0.8483808561055256
0.12030870625915102,0.3499436976078677,0.5886629296877594,0.8973404732452858
0.10189661365244007,0.9560068981676786,0.9431960541903838,0.8325114376766439
0.7571525100926844,0.7365911070712601,0.16446046199481068,0.18011851878554108
0.19423780068380547,0.8492218324582258,0.06423910592772109,0.461946416761686
0.9661393641631564,0.9977155563409897,0.4297723521626391,0.6298270825002107
0.09807221590421189,0.030083744503834442,0.9363548118309577,0.49776717800010084
0.05597997895524476,0.4313807265496503,0.29825248008340166,0.5028838310461711
0.7055870367384461,0.8587518749559103,0.31305025328044667,0.9995297945341314
0.3825426521802118,0.49532982081923405,0.512389479094972,0.436187320975406
0.6429353102310926,0.10887466756875519,0.8506503143439546,0.2564627909729331
